subject,predicate,object
http://purl.bioontology.org/ontology/OMIM/MTHU004914,manifestation_of,http://purl.bioontology.org/ontology/OMIM/600384
http://purl.bioontology.org/ontology/OMIM/MTHU004914,manifestation_of,http://purl.bioontology.org/ontology/OMIM/300388
http://purl.bioontology.org/ontology/OMIM/MTHU004914,manifestation_of,http://purl.bioontology.org/ontology/OMIM/604168
http://purl.bioontology.org/ontology/OMIM/MTHU004914,manifestation_of,http://purl.bioontology.org/ontology/OMIM/611105
http://purl.bioontology.org/ontology/OMIM/MTHU004914,manifestation_of,http://purl.bioontology.org/ontology/OMIM/612462
http://purl.bioontology.org/ontology/OMIM/MTHU004914,manifestation_of,http://purl.bioontology.org/ontology/OMIM/103580
http://purl.bioontology.org/ontology/OMIM/MTHU004914,manifestation_of,http://purl.bioontology.org/ontology/OMIM/603896
http://purl.bioontology.org/ontology/OMIM/MTHU004914,manifestation_of,http://purl.bioontology.org/ontology/OMIM/620313
http://purl.bioontology.org/ontology/OMIM/MTHU020791,manifestation_of,http://purl.bioontology.org/ontology/OMIM/218000
http://purl.bioontology.org/ontology/OMIM/MTHU020791,manifestation_of,http://purl.bioontology.org/ontology/OMIM/612674
http://purl.bioontology.org/ontology/OMIM/MTHU020791,manifestation_of,http://purl.bioontology.org/ontology/OMIM/613640
http://purl.bioontology.org/ontology/OMIM/MTHU020791,manifestation_of,http://purl.bioontology.org/ontology/OMIM/618124
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/608809
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/608118
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/606367
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/103285
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/614162
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/614868
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615607
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615816
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/615952
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/617237
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/618213
http://purl.bioontology.org/ontology/OMIM/MTHU001691,manifestation_of,http://purl.bioontology.org/ontology/OMIM/301054
